DATE,median_list_price_sq_ft
7/1/16,104
8/1/16,104
9/1/16,104
10/1/16,105
11/1/16,104
12/1/16,104
1/1/17,104
2/1/17,106
3/1/17,108
4/1/17,110
5/1/17,111
6/1/17,112
7/1/17,111
8/1/17,111
9/1/17,112
10/1/17,113
11/1/17,113
12/1/17,114
1/1/18,115
2/1/18,116
3/1/18,120
4/1/18,122
5/1/18,124
6/1/18,124
7/1/18,124
8/1/18,123
9/1/18,123
10/1/18,123
11/1/18,124
12/1/18,124
1/1/19,125
2/1/19,125
3/1/19,128
4/1/19,131
5/1/19,132
6/1/19,131
7/1/19,131
8/1/19,131
9/1/19,131
10/1/19,131
11/1/19,132
12/1/19,132
1/1/20,133
2/1/20,134
3/1/20,136
4/1/20,136
5/1/20,138
6/1/20,141
7/1/20,145
8/1/20,149
9/1/20,152
10/1/20,155
11/1/20,157
12/1/20,160
1/1/21,162
2/1/21,169
3/1/21,170
4/1/21,173
5/1/21,176
6/1/21,175
7/1/21,179
8/1/21,177
9/1/21,180
10/1/21,181
11/1/21,182
12/1/21,182
1/1/22,184
2/1/22,187
3/1/22,190
4/1/22,195
5/1/22,197
6/1/22,198
7/1/22,197
8/1/22,194
9/1/22,192
10/1/22,190
11/1/22,189
12/1/22,188
1/1/23,188
2/1/23,190
3/1/23,192
4/1/23,193
5/1/23,196
6/1/23,197
7/1/23,197
8/1/23,196
9/1/23,195
10/1/23,196
11/1/23,196
12/1/23,196
1/1/24,196
